tweet,date,likes,retweets
Good choice... Clay Bennett cartoon #NRA #guncontrol #tcot,"Dec 31, 2013",2,7
Excellent #GunControl #2A Question!,"Jan 1, 2014",1,1
Harvard: NO CORRELATION #GunControl & LESS VIOLENCEhttp://law.harvard.edu/students/orgs/jlpp/Vol30_No2_KatesMauseronline.pdf… #2A #NJ2AS,"Jan 1, 2014",2,4
#RedNationRising Pledge For 2014: Oppose ANY Politician That Supports #GunControl. @NObamaChat @RedNationRising,"Dec 31, 2013",6,9
Citizens in Connecticut line up to register their firearms [photo] #GunControl  http://twitchy.com/2013/12/31/citizens-in-connecticut-line-up-to-register-their-firearms-photo/…,"Jan 1, 2014",2,3
Why do we want [need] guns? http://the-libertarian.co.uk/why-do-we-want-guns/…   #UKIP #Liberty #guncontrol,"Jan 1, 2014",0,2
"Number of cops killed by gunfire in 2013 dips to 33, lowest since 1887 http://fxn.ws/1iswX2N No #guncontrol #2a #nra #gunrights #tcot #guns","Dec 31, 2013",2,4
“@StockmanSenate: The best gun lubricant around. (HT @LolaGOP) ” I reckon this'uns alright. #2a #gunsense #guncontrol,"Jan 1, 2014",8,9
Since when do responsible gun owners think that firearms and alcohol are a good mix? #Ilovethisbar #NRA #TobyKeith #Guns #Guncontrol,"Dec 31, 2013",3,5
Vote with Your Wallet Against #guncontrol California Pizza Kitchens Does NOT support #2A http://2acheck.com #NJ2AS #PJNET #tcot,"Jan 1, 2014",1,5
Feel safer now?#guncontrol UK@FirearmsUK @M1Charles1M @BASCnews,"Jan 1, 2014",1,3
+1 for #WhyICarry:5 juveniles allegedly involved in Des Moines home invasion - http://goo.gl/news/EcM8?shr=t #2a #GunControl #GunRights #ocra #tcot,"Dec 31, 2013",0,1
#2A #NRA #GunControl #GunRights3 things cannot be long hidden; the sun the moon & the #truth Happy New Year..!,"Dec 31, 2013",1,0
The Confrontational #GunControl Strategy That Just Might Work http://huff.to/1dipcZE #gunculture,"Dec 31, 2013",1,1
"RT @StopTeaBaggers ""If guns don't kill people, then why have a gun? "" #guncontrol","Dec 31, 2013",1,0
Time Is Ripe For Gun Owners To Seek Concessionshttp://cdnshootingsports.org/e-news.html #gunregistry #cdnpoli #cssa #hunting #guncontrol,"Jan 1, 2014",1,2
#Guncontrol:  2014 Kicks Off With Gun Crimes Across The Country http://thinkprogress.org/justice/2014/01/01/3109721/year-starts-gun-violence/…,"Jan 1, 2014",1,0
#2A #NRA #GunControl #GunRights3 things cannot be long hidden; the sun the moon & the #truth Happy New Year..!,"Dec 31, 2013",1,0
Happy New Year! 2013 was an incredible and consequential year. 2014 is all about #foodstamps #immigrationreform #VotingRights #guncontrol!,"Jan 1, 2014",2,3
"Tough #GunControl works > In 1991, there were 2,245 murders in New York City. This year, there were 333. http://ow.ly/sbpG8 #2A #Guns","Dec 31, 2013",0,1
