tweet,date,likes,retweets
The story of #WoundedKnee #GunControl,"Dec 27, 2014",11,13
MT New words on #guncontrol https://pic.twitter.com/DFnqQumcMP#NJ2AS #PJNET #tcot,"Dec 30, 2014",3,6
"Makes sense, right? #GunControl #2A","Dec 21, 2014",17,9
"OPEN CARRY:JUST BECAUSE YOU HAVE ONE, DOESN'T MEAN WE ALL WANT TO SEE IT. #opencarry #gunsense #guncontrol","Dec 16, 2014",13,13
Why are #Conservatives allergic to the truth? #TortureReport #climatechange #Obamacare #guncontrol #FoxNews,"Dec 16, 2014",6,6
NINETY - FIVE SCHOOL SHOOTINGS SINCE #NEWTOWN. #guncontrol #gunsense #gunfail,"Dec 17, 2014",3,11
Stop blaming mental health for gun violence. The problem is guns.#GunControl#UniteBlue  http://wapo.st/1wrc3Tz,"Dec 28, 2014",10,12
NYPD Killer May Have Been Mentally Ill http://thebea.st/13RzVty #AllLivesMatter #BlueLivesMatter #guncontrol,"Dec 21, 2014",5,7
The TRUE definition of #GUNCONTROL #tcot #teaparty #2A #NRA,"Dec 26, 2014",6,3
"They lost PBS, as well as the #GunControl debateBoot #MomsDemand #GunSense from #everytownhttp://pbs.org/newshour/updates/poll-support-connecticut-gun-law-state…","Dec 27, 2014",4,8
Can't argue w/facts re #guncontrol #guns #CCOT #law #tcot #icon #tpot #pjnet #2A,"Dec 27, 2014",2,3
#Idaho toddler shoots and kills his mother inside Walmarthttp://gu.com/p/44gb9#GunControl #Walmart,"Dec 30, 2014",1,4
If you think that #PoliceLivesMatter then take aim at the two main causes: Guns and Cars #VisionZero #guncontrol,"Dec 28, 2014",3,4
Christmas #Chicago Style: Mayor Rahm’s Son Robbed Right In Front Of Family’s Home - #ancap #2nd #tlot #il #guncontrol http://news.yahoo.com/christmas-chicago-style-mayor-rahm-son-robbed-front-204112861.html…,"Dec 20, 2014",5,9
'Guns don't kill people: people kill people.' How does that apply to a 2 year old killing an adult? http://m.bbc.co.uk/news/world-us-canada-30636326#sa-ns_mchannel=rss&ns_source=PublicRSS20-sa?utm_medium=twitter&utm_source=twitterfeed… #guncontrol,"Dec 30, 2014",2,5
So sad.What's David Leyonhjelm say about this one?  #GunControl  #AusPol http://cnn.it/14bhnVr,"Dec 30, 2014",6,6
"If #GunControl worked. Chicago, New York, Detroit & LA would be the safest places in #America! #2A #TruthMatters #CodeBlue","Dec 20, 2014",5,8
PATRIOTS------I DEFEND MY RIGHTS FROM ALL ENEMIES FOREIGN AND OBAMA!!  #USMC #GunControl #MilitaryBowl14,"Dec 28, 2014",4,2
Why does anyone need an AR 15? #2A #NRA #GunControl #SecondAmendment,"Dec 27, 2014",2,1
Top 10 out-of-state sources for guns used in NYC crime - #GunControl laws must be national #p2 #uniteblue #NRA #NYPD,"Dec 22, 2014",2,11
"#gunsense is #Newspeak for #guncontrol. If u don't know what #Newspeak is, u should get an education.","Dec 29, 2014",2,1
mT @tracyldickerson: Really? I just love the sign behind her. What is wrong with people?  #UniteBlue #GunControl,"Dec 29, 2014",2,4
#Guncontrol for dummies  @TweetCongress #TEAParty #OWS @newshour @foxnews @facethenation @meetthepress #gun #militia,"Dec 27, 2014",10,16
"The #GunControl cultists are unsafeBoot #MomsDemand #GunSense from #everytown, & every legislative seat","Dec 27, 2014",2,4
No one mess with my wife now....she's packing heat! #GunControl,"Dec 25, 2014",2,0
"""@Cagsil: #Guncontrol is about control of people, not saving lives.Protect #Constitution #2ndAmendment! https://pic.twitter.com/UV7DCR2QMM""","Dec 21, 2014",2,0
#GunControl Made The Holocaust Possible! #2A MT ☞ @minasmith64: #Gunsense @dmon4ever @1MMAGC #ImBlockedByShannonWatts,"Dec 30, 2014",1,5
"#gunsense, would you believe this man's hands are registered as lethal weapons?#guncontrol #handcontrol#2A #tcot","Dec 30, 2014",8,5
Because I point out that countries with #guncontrol also make illegal non-lethal forms of self defense#ImBlockedByShannonWatts #2A,"Dec 28, 2014",5,1
"#BlockedByShannonWatts Because She Can't Stand To Listen To The Truth About #GunControl, #GunCulture & GunRights","Dec 27, 2014",4,1
"It was that simple. RT @WayneDupreeShow: Makes sense, right? #GunControl  #NRA #2A #MolonLabe #TCOT #C2GTHR #LNYHBT","Dec 28, 2014",5,8
Want to see what shame is?  This is shame... #gunsense @1MMAGC  #ImBlockedByShannonWatts #2A #guncontrol #molonlabe,"Dec 30, 2014",5,4
"INSANE->#GunControl Cultist Calls 4 Kids 2 Steal Parents’ Firearms, Bring Them 2 Schools http://bearingarms.com/crazed-gun-control-cultist-calls-children-steal-parents-firearms-bring-schools/… #tcot","Dec 23, 2014",4,15
"The so-called ""Harper Government"" is also proud to be known as the Batshit Crazy Gun-Nut party http://safeandsensible.ca #cdnpoli #GunControl","Dec 30, 2014",3,6
"RT @glenn_mcan: #PoliceLivesMatter: let's fix 2 main causes of police fatality, guns & cars #VisionZero #guncontrol","Dec 28, 2014",4,4
"#Senate confirms Vivek Murthy, #guncontrol advocate, as #surgeongeneral. http://washingtontimes.com/news/2014/dec/15/vivek-murthy-confirmed-senate-surgeon-general/… #VivekMurthy","Dec 15, 2014",3,14
